County,Harvested Area (2012),Production Metric Tonnes (2012),Yield as Production over Harvest (2012),Harvested Area (2013),Production Metric Tonnes (2013),Yield as Production over Harvest (2013),Harvested Area (2014),Production Metric Tonnes (2014),Yield as Production over Harvest (2014),Harvested Area (2015),Production Metric Tonnes (2015),Yield as Production over Harvest (2015),Harvested Area (2016),Production Metric Tonnes (2016),Yield as Production over Harvest (2016),Harvested Area (2017), Production Metric Tonnes (2017),Yield as Production over Harvest (2017),Harvested Area (2018),Production Metric Tonnes (2018),Yield as Production over Harvest (2018)
Baringo,39753.00,71867.00,1.81,29117.00,55805.00,1.92,34960.00,34959.00,1,44159.00,83313.00,1.89,33163.00,72495.00,2.19,33308.00,45764.00,1.37,37658.00,58475.60,1.55
Bomet,32697.00,73278.00,2.24,30620.00,72236.00,2.36,30940.00,53162.00,1.72,35727.00,38720.00,1.08,32275.00,45517.00,1.41,33792.00,56601.00,1.67,33291.00,58336.81,1.75
Bungoma,96209.00,262381.00,2.73,92705.00,221586.00,2.39,98074.00,267302.00,2.73,97397.00,260266.00,2.67,100712.00,301068.00,2.99,95323.00,289290.00,3.03,93484.00,295481.10,3.16
Busia,41990.00,50102.00,1.19,45898.00,63230.00,1.38,50400.00,72662.00,1.44,50781.00,86526.00,1.7,38441.00,36631.00,0.95,31962.00,51483.00,1.61,33122.00,53629.00,1.62
Elgeyo Marakwet,31533.00,91964.00,2.92,32015.00,101336.00,3.17,27620.00,103448.00,3.75,33598.00,78020.00,2.32,33315.00,75005.00,2.25,28373.00,80823.00,2.85,30631.00,92601.41,3.02
Embu,45215.00,46750.00,1.03,26820.00,35105.00,1.31,26720.00,26611.00,1,38699.00,49156.00,1.27,24686.00,16104.00,0.65,45533.00,28378.00,0.62,35812.00,32113.19,0.9
Garissa,433.00,411.00,0.95,205.00,199.00,0.97,245.00,199.00,0.81,248.00,216.00,0.87,167.00,152.00,0.91,150.00,142.00,0.95,138.00,119.00,0.86
Homabay,67420.00,97513.00,1.45,74359.00,110380.00,1.48,79667.00,124465.00,1.56,83900.00,137958.00,1.64,61940.00,71446.00,1.15,66115.00,93405.00,1.41,69055.00,100741.38,1.46
Isiolo,987.00,979.00,0.99,1015.00,1073.00,1.06,1385.00,657.00,0.47,1017.00,1231.00,1.21,708.00,475.00,0.67,568.00,444.00,0.78,358.00,287.50,0.8
Kajiado,30145.00,2218.00,0.07,34721.00,63460.00,1.83,31020.00,73396.00,2.37,38055.00,20004.00,0.53,32682.00,11016.00,0.34,15123.00,12751.00,0.84,16663.00,18698.00,1.12
Kakamega,76285.00,172308.00,2.26,73463.00,172683.00,2.35,70993.00,182397.00,2.57,78271.00,224225.00,2.86,78344.00,172350.00,2.2,90572.00,227237.00,2.51,95387.00,238290.55,2.5
Kericho,41971.00,98549.00,2.35,41170.00,80022.00,1.94,41041.00,68913.00,1.68,39602.00,85698.00,2.16,38086.00,91832.00,2.41,32843.00,103245.00,3.14,33461.00,105402.15,3.15
Kiambu,44821.00,27831.00,0.62,43210.00,21609.00,0.5,24450.00,7384.00,0.3,33357.00,58260.00,1.75,39670.00,55837.00,1.41,41322.00,35506.00,0.86,29434.00,32219.00,1.09
Kilifi,70672.00,18625.00,0.26,647.00,310.00,0.48,653.00,300.00,0.46,88592.00,103830.00,1.17,66396.00,28114.00,0.42,61225.00,48121.00,0.79,60617.00,54675.35,0.9
Kirinyaga,31935.00,46562.00,1.46,40103.00,48237.00,1.2,32992.00,37183.00,1.13,38181.00,58896.00,1.54,34776.00,30168.00,0.87,36795.00,37756.00,1.03,30877.00,33347.18,1.08
Kisii,59635.00,97513.00,1.64,63710.00,131023.00,2.06,62210.00,119703.00,1.92,76160.00,100231.00,1.32,73253.00,96054.00,1.31,75038.00,168102.00,2.24,74162.00,154181.90,2.08
Kisumu,33395.00,97513.00,2.92,32069.00,61453.00,1.92,27150.00,54651.00,2.01,34564.00,41699.00,1.21,52074.00,20605.00,0.4,51096.00,53777.00,1.05,50470.00,70913.50,1.41
Kitui,77210.00,55238.00,0.72,93600.00,37499.00,0.4,84763.00,30585.00,0.36,88840.00,48470.00,0.55,87751.00,7433.00,0.08,69833.00,10893.00,0.16,80244.00,22966.65,0.29
Kwale,39490.00,13225.00,0.33,39910.00,13245.00,0.33,34644.00,31473.00,0.91,62675.00,77693.00,1.24,59978.00,20170.00,0.34,68955.00,80498.00,1.17,68886.00,62102.76,0.9
Laikipia,36163.00,119852.00,3.31,5665.00,4979.00,0.88,6175.00,6471.00,1.05,30616.00,42554.00,1.39,273056.00,46655.00,0.17,24635.00,46553.00,1.89,26313.00,48007.30,1.82
Lamu,20127.00,19410.00,0.96,21324.00,33585.00,1.58,35261.00,35550.00,1.01,21606.00,46129.00,2.14,17020.00,17973.00,1.06,25332.00,31344.00,1.24,22704.00,29025.00,1.28
Machakos,149338.00,90926.00,0.61,133408.00,92099.00,0.69,139090.00,62477.00,0.45,125652.00,121682.00,0.97,86252.00,76144.00,0.88,129010.00,63984.00,0.5,130298.00,81373.55,0.62
Makueni,102825.00,71782.00,0.7,183338.00,82784.00,0.45,181089.00,77440.00,0.43,129854.00,131812.00,1.02,132320.00,73384.00,0.55,108570.00,26400.00,0.24,123311.00,62758.60,0.51
Mandera,215.00,1325.00,0,1987.00,1325.00,0.67,2682.00,1609.00,0.6,788.00,278.00,0.35,780.00,380.00,0.49,3071.00,1441.00,0.47,1060.00,347.00,0.33
Marsabit,274.00,214.00,0.78,990.00,987.00,1,1571.00,1582.00,1.01,631.00,646.00,1.02,537.00,282.00,0.53,537.00,283.00,0.53,72012.00,74726.30,1.04
Meru,96244.00,142499.00,1.48,95594.00,92646.00,0.97,110489.00,111955.00,1.01,91106.00,106046.00,1.16,79798.00,89570.00,1.12,44354.00,33233.00,0.75,82153.00,128126.34,1.56
Migori,78580.00,97513.00,1.24,54974.00,42155.00,0.77,67485.00,83703.00,1.24,65583.00,149296.00,2.28,37989.00,35200.00,0.93,80312.00,108922.00,1.36,439.00,308.92,0.7
Mombasa,1003.00,451.00,0.45,1001.00,406.00,0.41,653.00,338.00,0.52,672.00,522.00,0.78,860.00,86.00,0.1,798.00,680.00,0.85,65701.00,71793.25,1.09
Murang'a,56654.00,50462.00,0.89,61416.00,56853.00,0.93,61543.00,52266.00,0.85,64484.00,71149.00,1.1,64746.00,48054.00,0.74,60242.00,38133.00,0.63,803.90,458.19,0.57
Nairobi ,1018.00,852.00,0.84,1017.00,802.00,0.79,913.00,740.00,0.81,919.00,1157.00,1.26,954.00,1049.00,1.1,854.00,551.00,0.65,86102.00,238002.40,2.76
Nakuru,89649.00,298974.00,3.33,90690.00,231412.00,2.55,86504.00,158914.00,1.84,73191.00,114687.00,1.57,88021.00,207404.00,2.36,88686.00,206509.00,2.33,47830.00,179198.25,3.75
Nandi,73552.00,217360.00,2.96,70519.00,170034.00,2.41,74045.00,167219.00,2.26,67593.00,189229.00,2.8,69933.00,204437.00,2.92,64578.00,197272.00,3.05,19621.00,50538.05,2.58
Narok,109940.00,184295.00,1.68,113550.00,314412.00,2.77,112079.00,267769.00,2.39,124999.00,201348.00,1.61,103500.00,242735.00,2.35,102258.00,231294.00,2.26,91602.00,208306.85,2.27
Nyamira,54820.00,97513.00,1.78,53270.00,62422.00,1.17,35549.00,41115.00,1.16,40989.00,61547.00,1.5,41689.00,55492.00,1.33,51800.00,74189.00,1.43,60101.00,91040.70,1.51
Nyandarua,19588.00,27442.00,1.4,10490.00,15683.00,1.5,10366.00,13103.00,1.26,17537.00,26035.00,1.48,16290.00,20484.00,1.26,18744.00,25080.00,1.34,21295.00,35705.00,1.68
Nyeri,33593.00,26067.00,0.78,61416.00,48167.00,0.78,61543.00,44281.00,0.72,29054.00,38404.00,1.32,23039.00,12508.00,0.54,36157.00,30844.00,0.85,28631.00,39049.06,1.36
Samburu,1227.00,1024.00,0.83,1265.00,1649.00,1.3,1973.00,2064.00,1.05,3780.00,724.00,0.19,7391.00,15750.00,2.13,5519.00,10438.00,1.89,8010.00,4364.00,0.54
Siaya,76385.00,97513.00,1.28,72110.00,115808.00,1.61,78132.00,123562.00,1.58,79036.00,129139.00,1.63,71410.00,60496.00,0.85,64999.00,79450.00,1.22,66766.00,87638.45,1.31
Taita Taveta,13986.00,5113.00,0.37,15592.00,16699.00,1.07,653.00,823.00,1.26,16623.00,12292.00,0.74,16508.00,9519.00,0.58,17516.00,11050.00,0.63,18977.00,20364.00,1.07
Tana River,6269.00,5357.00,0.85,8290.00,9513.00,1.15,9582.00,11390.00,1.19,4598.00,5408.00,1.18,6122.00,8739.00,1.43,5001.00,5203.00,1.04,4819.00,3536.00,0.73
Tharaka Nthi,26779.00,38192.00,1.43,30026.00,24515.00,0.82,29916.00,25471.00,0.85,30985.00,42938.00,1.39,31010.00,21964.00,0.71,26267.00,18223.00,0.69,24436.00,19128.50,0.78
Trans Nzoia,104421.00,432342.00,4.14,105310.00,425301.00,4.04,106778.00,451348.00,4.23,106800.00,413415.00,3.87,106303.00,406434.00,3.82,106557.00,393669.00,3.69,107681.00,548196.01,5.09
Turkana,2252.00,3529.00,1.57,1626.00,3041.00,1.87,1310.00,2154.00,1.64,3842.00,2428.00,0.63,5962.00,7091.00,1.19,4232.00,2742.00,0.65,4245.84,3741.01,0.88
Uasin Gishu,91310.00,257649.00,2.82,88790.00,363562.00,4.09,96654.00,380227.00,3.93,104078.00,405121.00,3.89,102753.00,405440.00,3.95,101279.00,316041.00,3.12,95209.00,405459.68,4.26
Vihiga,18010.00,27857.00,1.55,24195.00,36241.00,1.5,23772.00,36605.00,1.54,35105.00,43927.00,1.25,35783.00,50289.00,1.41,29190.00,43374.00,1.49,25090.00,35129.00,1.4
Wajir,268.00,191.00,0.71,550.00,375.00,0.68,660.00,112.00,0.17,84.00,38.00,0.45,0.00,0.00,0,306.00,398.00,1.3,610.00,1034.00,1.7
West Pokot,33035.00,110674.00,3.35,19380.00,54746.00,2.82,19748.00,46341.00,2.35,33124.00,60251.00,1.82,29143.00,69151.00,2.37,34450.00,51597.00,1.5,32172.00,61840.00,1.92
